id,region_id,nivel_id,tipo,numero,clave,estatus,nomenclatura_id,sede,direccion,cp,ciudad,estado,fecha_inicio,fecha_fin
2,1,36,ACTIVO,59,D-II-59,ACTIVA,2,PANUCO,VENUSTIANO CARRANZA,93990,PÁNUCO,VERACRUZ,08/02/2023,08/02/2025
3,2,19,ACTIVO,13,D-III-13,ACTIVA,3,TUXPAN,CUAUHTEMOC 56 COLONIA DEL VALLE,92860,TUXPAN,VERACRUZ,10/02/2023,10/02/2026
4,2,39,ACTIVO,20,D-II-20,ACTIVA,2,TUXPAN,AV. CUAUHTEMOC NUM. 57 COLONIA DEL VALLE,92,TUXPAN,VERACRUZ,14/02/2023,14/02/2026
5,4,35,ACTIVO,77,D-I-77,ACTIVA,1,JUCHIQUE DE FERRER,MIGUEL HIDALGO,91440,JUCHIQUE DE FERRER,VERACRUZ,10/02/2023,10/02/2026
6,2,35,ACTIVO,94,D-I-94,ACTIVA,1,TAMIAHUA,AV. MIGUEL HIDALGO NO. 45 ZONA SUR,92560,TAMIAHUA,VERACRUZ,13/02/2023,13/02/2026
7,6,35,ACTIVO,8,D-I-08,ACTIVA,1,CARDEL,ENRIQUE C. RÉBSAMEN #55 COL. MAGISTERIAL,91653,JOSÉ CARDEL,VERACRUZ,07/02/2023,07/02/2026
8,2,35,ACTIVO,9,D-I-09,ACTIVA,1,CERRO AZUL,CARRETERA CERRO AZUL LOC. LA MORA,92540,CERRO AZUL,VERACRUZ,10/02/2023,10/02/2026
9,2,39,ACTIVO,22,D-II-22,ACTIVA,2,NARANJOS,CALLE CHONTLA  S/N. FRACCIONAMIENTO NUEVO NARANJOS,92310,NARANJOS AMATLÁN,VERACRUZ,14/02/2023,14/02/2026
10,7,39,ACTIVO,31,D-II-31,ACTIVA,2,COSCOMATEPEC,PRIVADA 2 NORTE SN,94470,FORTÍN,VERACRUZ,15/02/2023,15/02/2026
11,1,39,ACTIVO,35,D-II-35,ACTIVA,2,TANTOYUCA,"AV. REVOLUCIÓN S/N, COL. 10 DE MAYO",92122,TANTOYUCA,VERACRUZ,17/02/2023,17/02/2026
12,2,22,ACTIVO,53,D-II-53,ACTIVA,2,TUXPAN,"CUAUHTEMOC  #56, COL DEL VALLE",92800,TUXPAN,VERACRUZ,14/02/2023,14/02/2026
13,2,35,ACTIVO,57,D-I-57,ACTIVA,1,TUXPAN,AV. CUAUHTEMOC NO. 56 COL. DEL VALLE,92870,TUXPAN,VERACRUZ,10/02/2023,10/02/2026
14,2,35,ACTIVO,35,D-I-35,ACTIVA,1,NARANJOS,"CHONTLA S/N FRACCIONAMIENTO NUEVO NARANJOS, NARANJOS.",92310,NARANJOS AMATLÁN,VERACRUZ,10/02/2023,10/02/2026
15,2,35,ACTIVO,19,D-I-19,ACTIVA,1,CHONTLA,CALLE LIBERTAD S/N,92200,CHONTLA,VERACRUZ,15/02/2023,15/02/2026
16,2,35,ACTIVO,38,D-I-38,ACTIVA,1,OZULUAMA,"PASEO DEL VICHÍN S/N, ZONA CENTRO",92080,OZULUAMA,VERACRUZ,13/02/2023,13/02/2026
17,1,35,ACTIVO,71,D-I-71,ACTIVA,1,BENITO JUAREZ,"CALLE HIDALGO S/N, COL. CENTRO",92661,BENITO JUAREZ,VERACRUZ,15/02/2023,15/02/2026
18,2,34,ACTIVO,80,D-I-80,ACTIVA,1,TUXPAN,"AV. CUAUHTEMOC 57, COLONIA DEL VALLE",92875,TUXPAN,VERACRUZ,13/02/2023,13/02/2026
19,1,39,ACTIVO,50,D-II-50,ACTIVA,2,TEMPOAL,REPSAMEN # 4 COLONIA LA COBACHA,92065,TEMPOAL,VERACRUZ,17/02/2023,17/02/2025
20,4,39,ACTIVO,34,D-II-34,ACTIVA,2,MISANTLA,"C. DEL  POCITO S/N, ESQ. MANUEL RIVERA COL. 20 DE NOVIEMBRE",93821,MISANTLA,VERACRUZ,13/02/2023,13/02/2026
21,5,34,ACTIVO,60,D-I-60,ACTIVA,1,XALAPA,XANATI 72 MARCO ANTONIO MUÑOZ,91916,XALAPA,VERACRUZ,17/02/2023,17/02/2026
22,6,35,ACTIVO,43,D-I-43,ACTIVA,1,PIEDRAS NEGRAS,"COL. CENTRO PIEDRAS NEGRAS, TLALIXCOYAN.",95226,PIEDRAS NEGRAS,VERACRUZ,09/02/2023,09/02/2026
23,4,35,ACTIVO,93,D-I-93,ACTIVA,1,VEGA DE LA TORRE,IGNACIO ZARAGOZA 206 COLONIA CENTRO,93960,VEGA DE ALATORRE,VERACRUZ,10/02/2023,10/02/2026
24,4,19,ACTIVO,15,D-III-15,ACTIVA,3,MARTINEZ DE LA TORRE,RIVERA DEL RIO NO. 103 COLONIA EL MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ,13/02/2023,13/02/2026
25,9,37,ACTIVO,12,D-II-12,ACTIVA,2,TLACOTALPAN,PROLONGACIÓN JOSÉ MARÍA IGLESIAS S/N  COL. SAHOP,95460,TLACOTALPAN,VERACRUZ,09/02/2023,09/02/2026
