id,nombre
1,ADMINISTRATIVOS EDUCACIÓN FÍSICA
2,ADMINISTRATIVOS OFICINAS CENTRALES
3,ADMINISTRATIVOS TELEBACHILLERATO
4,ADMINISTRATIVOS Y DOCENTES DE LA D.G.B.
5,BACHILLEARTO RICARDO FLORES MAGÓN MIXTO
6,BACHILLERATO
7,BACHILLERATO ARTÍCULO 3° DIURNA
8,BACHILLERATO ANTONIO MARÍA DE RIVERA
9,BACHILLERATO ANTONIO MARÍA DE RIVERA MIXTA
10,BACHILLERATO ANTONIO MARÍA DE RIVERA VESPERTINA
11,BACHILLERATO DE VERACRUZ VESPERTINO
12,BACHILLERATO JOAQUÍN RAMÍREZ CABAÑAS MIXTA
13,BACHILLERATO SABATINO
14,BACHILLERATOS MATUTINOS
15,BACHILLERATOS VESPERTINOS
16,BACHILLERES OFICIAL
17,DEPARTAMENTO NORMALES
18,EDUCACIÓN ESPECIAL
19,EDUCACIÓN FÍSICA
20,ENSEÑANZAS MUSICALES
21,ESCUELA DE ENFERMERÍA
22,ESCUELA SECUENDARIA Y BACHILLERATO ABIERTO
23,ESCUELA SECUNDARIA EXPERIMENTAL
24,ESCUELA SECUNDARIA Y BACHILLERES DE ARTES Y OFICIOS
25,ESCUELA Y BACHILLERES ALFONSO REYES
26,ESTEBAN M
27,FORÁNEAS
28,ILLUSTRE
29,JUBILADOS Y PENSIONADOS
30,LOCALES
31,MANUALES
32,NORMAL
33,NORMAL MANUEL SUÁREZ TRUJILLO
34,PREESCOLAR
35,PRIMARIA
36,SECUNDARIA
37,SECUNDARIA Y BACHILLERATO
38,TÉCNICOS DOCENTES ADMINISTRATIVOS
39,TELEBACHILLERATO
40,TELESECUNDARIA
41,UNIVERSIDAD FEMENINA
42,UNIVERSIDAD PEDAGÓGICA VERACRUZANA
